#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","1","420","2199296094208","14487552","16592896","24744","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","4.34375","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3672","Microsoft.Win32.SafeHandles.SafeProcessHandle","420","4124",".","984696","Photos","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24744","24744","16592896","16592896","374072","374072","28938240","28938240","31285248","31285248","286060544","2199309316096","True","Normal","16592896","16592896","00:00:02.7187500","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","2/18/2018 10:43:58 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.3437500","00:00:01.6250000","272838656","2199296094208","False",,,,"14487552","14487552",,
"audiodg","0","376","2199223054336","28962816","29745152","16768",,,"933.96875",,,,,"Process","8",,,,,,"376","6556",".","0","",,,,,"16768","16768","29745152","29745152","197928","197928","49336320","49336320","49999872","49999872","216174592","2199239430144",,,"29745152","29745152","00:00:55.9375000","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","2/23/2018 2:31:42 PM",,"System.Diagnostics.ProcessThreadCollection","00:15:33.9687500","00:14:38.0312500","199798784","2199223054336","False",,,,"28962816","28962816",,
"BingSvc","1","313","143400960","11546624","3575808","15688","C:\Users\hp\AppData\Local\Microsoft\BingSvc\BingSvc.exe","? 2015 Microsoft Corporation","1.84375","1.0.6.0","1.0.6.0","Microsoft Bing Service","Microsoft Bing Service","Process","8",,"False",,"3472","Microsoft.Win32.SafeHandles.SafeProcessHandle","313","820",".","0","","System.Diagnostics.ProcessModule (BingSvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15688","15688","3575808","3575808","215312","215312","4538368","4538368","17694720","17694720","165064704","165064704","True","Normal","3575808","3575808","00:00:01.4218750","BingSvc","15","True","1","System.Diagnostics.ProcessStartInfo","2/18/2018 10:41:53 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8437500","00:00:00.4218750","143400960","143400960","False",,,,"11546624","11546624",,
"chrome","1","320","2199178924032","8527872","3428352","14456","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.71875","63.0.3239.132","63.0.3239.132","Google Chrome","Google Chrome","Process","8",,"False",,"3032","Microsoft.Win32.SafeHandles.SafeProcessHandle","320","896",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14456","14456","3428352","3428352","214120","214120","7499776","7499776","10235904","10235904","160329728","2199183585280","True","Normal","3428352","3428352","00:00:00.5312500","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","2/18/2018 10:42:32 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7187500","00:00:00.1875000","155668480","2199178924032","False",,,,"8527872","8527872",,
"chrome","1","381","2200043859968","100769792","116596736","39432","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","180.171875","63.0.3239.132","63.0.3239.132","Google Chrome","Google Chrome","Process","4",,"False",,"2620","Microsoft.Win32.SafeHandles.SafeProcessHandle","381","1228",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","39432","39432","116596736","116596736","485344","485344","190038016","190038016","463003648","463003648","1304621056","2200327876608","True","Idle","116596736","116596736","00:00:17.6875000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","2/23/2018 8:38:41 PM",,"System.Diagnostics.ProcessThreadCollection","00:03:00.1718750","00:02:42.4843750","1020604416","2200043859968","False",,,,"100769792","100769792",,
"chrome","1","435","2200246403072","241385472","224108544","62712","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","566.046875","63.0.3239.132","63.0.3239.132","Google Chrome","Google Chrome","Process","8",,"False",,"2604","Microsoft.Win32.SafeHandles.SafeProcessHandle","435","1672",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","62712","62712","224108544","224108544","566984","566984","296427520","296427520","327675904","327675904","1790554112","2200813809664","True","Normal","224108544","224108544","00:00:25.6875000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","2/23/2018 9:19:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:09:26.0468750","00:09:00.3593750","1223147520","2200246403072","False",,,,"241385472","241385472",,
"chrome","1","311","2200030941184","156053504","130695168","46640","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","11.4375","63.0.3239.132","63.0.3239.132","Google Chrome","Google Chrome","Process","4",,"False",,"2756","Microsoft.Win32.SafeHandles.SafeProcessHandle","311","2088",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","46640","46640","130695168","130695168","438736","438736","181719040","181719040","212283392","212283392","1567678464","2200590934016","True","Idle","130695168","130695168","00:00:00.5625000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","2/23/2018 10:52:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:11.4375000","00:00:10.8750000","1007685632","2200030941184","False",,,,"156053504","156053504",,
"chrome","1","368","2200047038464","44556288","83963904","38344","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","24.28125","63.0.3239.132","63.0.3239.132","Google Chrome","Google Chrome","Process","8",,"False",,"3892","Microsoft.Win32.SafeHandles.SafeProcessHandle","368","5056",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","38344","38344","83963904","83963904","579920","579920","131604480","131604480","145424384","145424384","1063981056","2200087236608","True","Normal","83963904","83963904","00:00:02.7343750","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","2/23/2018 8:09:57 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:24.2812500","00:00:21.5468750","1023782912","2200047038464","False",,,,"44556288","44556288",,
"chrome","1","2800","2200212561920","235634688","263327744","94824","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","8444.015625","63.0.3239.132","63.0.3239.132","Google Chrome","Google Chrome","Process","8",,"False",,"2832","Microsoft.Win32.SafeHandles.SafeProcessHandle","2800","7044",".","2559032","(17) Chapter 4 - Exporting to CSV and XML.mov - YouTube - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","94824","94824","263327744","263327744","1556128","1556128","296243200","296243200","357896192","357896192","1546166272","2200569421824","True","Normal","263327744","263327744","00:40:57.2500000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","2/18/2018 10:42:28 PM",,"System.Diagnostics.ProcessThreadCollection","02:20:44.0156250","01:39:46.7656250","1189306368","2200212561920","False",,,,"235634688","235634688",,
"chrome","1","140","2199157456896","3993600","2043904","10808","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.125","63.0.3239.132","63.0.3239.132","Google Chrome","Google Chrome","Process","8",,"False",,"2876","Microsoft.Win32.SafeHandles.SafeProcessHandle","140","7588",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10808","10808","2043904","2043904","179656","179656","2748416","2748416","9719808","9719808","136298496","2199159554048","True","Normal","2043904","2043904","00:00:00.0625000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","2/18/2018 10:42:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0625000","134201344","2199157456896","False",,,,"3993600","3993600",,
